FIRST_NAME|LAST_NAME|EMAIL_ADDRESS|PHONE_NUMBER|STREET_ADDRESS|CITY|STATE|ZIP_CODE|DATE_OF_BIRTH|SSN_LAST4|RECORD_ID
MR. RICHARD|GARCIA|richard.garcia87@icloud.com|(609) 452-7333|1562 Cedar Ln|Burlington|FL|69034|01/01/1800|2655|VA000000
MR. PATRICIA|HALL|patricia.hall50@outlook.com|9303632050|1608 Park Blvd|Clinton|va|77155-2669|1966-01-15|6243|VA000001
MR. JESSICA|KING|jessica.king48@hotmail.com|555-555-5555|6997 Main St|Springfield|MA|86020|04-Jul-1978|5050|VA000002
MR. LISA|BAKER|lisa.baker15@icloud.com|+16537237121|5321 River Dr|Clinton|Mic.|69713|01-07-1954|1598|VA000003
MR. LISA|GARCIA|test@test.com|958.767.4044|2303 River Dr|Dayton|AR|77615-6751|08/01/1940|4426|VA000004
JESSICA|THOMPSON|jessica.thompson54@yahoo.com|(462) 580-6039|5123 River Dr|Georgetown|co|49215|1978-07-31|9374|VA000005
JENNIFER|ADAMS|jennifer.adams88@hotmail.com|9438224396|5201 Lake Rd|Arlington|MS|48927|15-Jan-1963|7312|VA000006
MICHAEL|TAYLOR|michael.taylor37@hotmail.com|607-615-3570|2751 Valley Ln|Manchester|UT|58627-4081|05-27-1953|3020|VA000007
THOMAS|ADAMS|thomas.adams24@icloud.com|+16474221636|729 Lincoln Ave|Fairview|MN|21718|02/28/1989|6869|VA000008
PATRICIA|ADAMS|patricia.adams8@hotmail.com|920.978.5854|6245 Jefferson Dr|Franklin|tn|95008|1957-03-30|6417|VA000009
RICHARD|JOHNSON|richard.johnson83@gmail.com|(574) 747-6571|1319 Jefferson Dr|Salem|WI|48005-6923|11-Feb-1998|4327|VA000010
MARK|ALLEN|mark.allen9@outlook.com|3844645524|4253 Jefferson Dr|Salem|Flo.|39808|07-19-1996|3858|VA000011
SUSAN|YOUNG|susan.young68@gmail.com|553-429-9262|6779 Jefferson Dr|Greenville|AL|44886|11/01/1963|3105|VA000012
CHARLES|HALL|charles.hall52@outlook.com|+18799025240|9521 Oak Ave|Manchester|ut|32588-1094|1974-04-05|1847|VA000013
RICHARD|THOMAS|richard.thomas62@hotmail.com|430.714.4533|6200 Lincoln Ave|Fairview|MA|57438|12-Sep-1991|9952|VA000014
LISA|TORRES|lisa.torres4@aol.com|(995) 484-2133|3484 Park Blvd|Dayton|Pen.|11588|05-19-1992|8098|VA000015
JAMES|KING|james.king84@outlook.com|9514177810|7946 Main St|Dayton|MD|46368-9961|12/14/1979|8822|VA000016
KAREN|HALL|karen.hall7@gmail.com|327-561-8570|6601 Maple Dr|Springfield|wv|37344|1997-03-20|2770|VA000017
ANTHONY|NGUYEN|anthony.nguyen17@yahoo.com|+18014793003|4508 Main St|Clinton|CO|30055|27-May-2004|4328|VA000018
LISA|WILLIAMS|lisa.williams96@aol.com|395.934.5925|8070 Main St|Richmond|ME|99744-7011|03-20-1973|1307|VA000019
KAREN|ANDERSON|karen.anderson72@yahoo.com|(524) 736-5441|2307 Maple Dr|Springfield|NC|93967|10/30/1973|6825|VA000020
JENNIFER|JOHNSON|jennifer.johnson83@yahoo.com|6989177751|325 Lincoln Ave|Salem|ia|60394|1942-04-03|6270|VA000021
MARY|MILLER|mary.miller29@gmail.com|366-211-2829|9967 Maple Dr|Clinton|Texas|80244-3444|06-Oct-1975|1991|VA000022
BARBARA|JACKSON||+16823169766|5285 Main St|Oxford|Flo.|26258|08-27-1945|7040|VA000023
CHRISTOPHER|SMITH|christopher.smith78@gmail.com|592.416.4917|9283 Sunset Blvd|Burlington|GA|96352|11/17/1961|7406|VA000024
RICHARD|JONES||(257) 404-5374|2637 Park Blvd|Dayton|ky|29192-2597|1945-07-25|5835|VA000025
BARBARA|ADAMS|barbara.adams21@gmail.com|7616016528|6922 Sunset Blvd|Salem|MN|61296|31-Jan-1975|2176|VA000026
LINDA|SCOTT|linda.scott30@gmail.com|667-279-7669|9747 Lake Rd|Greenville|Cal.|56318|09-08-1975|1410|VA000027
CHARLES|BROWN|charles.brown95@icloud.com|+17609583648|9374 Lake Rd|Manchester|AR|28401-3400|12/07/1997|1499|VA000028
CHARLES|HALL|charles.hall10@icloud.com|532.694.3832|8000 Jefferson Dr|Arlington|vt|85527|1948-07-21|5921|VA000029
JESSICA|DAVIS|jessica.davis92@hotmail.com|(877) 291-5830|6534 Main St|Fairview|MT|91726|13-Nov-1955|8474|VA000030
