RecordID,LastName,FirstName,MiddleInit,DOB,SSN4,PrimaryPhone,SecondaryPhone,EmailAddr,AddressLine1,AddressLine2,City,St,Zipcode,LoadDate
VC000000,Allen,Sandra,,11-Feb-1946,7206,+12989631585,,,1998 Jefferson Dr,Apt 847,Franklin,WI,81572,2026-05-18
VC000001,Wright,Charles,U,09-08-1979,5201,991.349.5758,7403122838,,690 Park Blvd,Apt 304,Burlington,CO,55398,2026-05-09
VC000002,Williams,David,,10/12/1941,9426,(462) 605-7875,,,3318 Park Blvd,,Madison,MS,56637-5948,2026-05-12
VC000003,Brown,James,J,1983-02-23,1151,9643061456,+12248243732,james.brown72@gmail.com,1030 Valley Ln,Apt 972,Franklin,NC,67360,2026-05-10
VC000004,Garcia,Jessica,I,22-Oct-1980,3747,604-873-3970,712.769.6204,jessica.garcia41@icloud.com,7609 Cedar Ln,Apt 199,Madison,VT,43800,2026-05-05
VC000005,Adams,Daniel,N,08-22-1959,7420,+18515163893,,,4798 Sunset Blvd,Apt 781,Salem,VT,96653-4189,2026-05-19
VC000006,Scott,Jennifer,,10/02/2000,2574,685.236.6595,,,7120 Park Blvd,,Oxford,WY,70429,2026-05-21
VC000007,Harris,Anthony,D,1992-08-28,5515,(793) 588-1485,752-804-3206,anthony.harris1@outlook.com,6586 Oak Ave,,Arlington,TX,65543,2026-05-23
VC000008,Young,Jennifer,,15-Oct-1956,5141,5548148307,+16319501330,jennifer.young29@aol.com,4261 Washington St,,Oxford,NV,96667-3364,2026-05-29
VC000009,Jackson,Karen,,07-21-1943,1730,269-394-8495,,karen.jackson53@hotmail.com,8635 Sunset Blvd,Apt 180,Richmond,NY,32805,2026-05-25
VC000010,Allen,Betty,,08/24/1965,6542,+15739673326,,,1320 River Dr,Apt 188,Clinton,KY,43272,2026-05-27
VC000011,Williams,Daniel,H,1979-06-17,6823,446.778.2795,7695886104,daniel.williams23@icloud.com,9948 Main St,,Marion,CO,95826-9498,2026-05-28
VC000012,Williams,William,C,10-Jan-1984,2671,(737) 304-7980,,william.williams5@icloud.com,8130 Valley Ln,Apt 515,Clinton,OK,73053,2026-05-29
VC000013,Jones,William,J,06-18-1994,5654,9333523209,,william.jones54@icloud.com,3308 River Dr,Apt 475,Arlington,SC,55873,2026-06-02
VC000014,Smith,Thomas,T,10/24/1994,8250,363-753-9878,,thomas.smith4@aol.com,9511 Cedar Ln,,Springfield,MA,86555-7127,2026-06-02
VC000015,White,Mary,,1976-03-05,2499,+12953844095,,mary.white61@icloud.com,6231 Valley Ln,Apt 543,Franklin,MD,88077,2026-06-03
VC000016,Martin,Sandra,,01-Mar-1962,6749,932.273.5110,,sandra.martin75@icloud.com,6306 Park Blvd,,Oxford,PA,82791,2026-05-29
VC000017,Davis,Margaret,A,12-01-1949,1329,(358) 569-7233,,margaret.davis87@aol.com,4164 Lincoln Ave,,Oxford,OR,74866-7948,2026-05-19
VC000018,Nelson,John,,06/26/1990,9838,3732336235,,john.nelson80@gmail.com,9693 Jefferson Dr,,Franklin,ND,75407,2026-05-22
VC000019,Thompson,Daniel,X,1956-02-29,6617,895-415-6471,276.991.9460,daniel.thompson15@hotmail.com,3474 Lake Rd,,Arlington,SD,44360,2026-05-31
VC000020,Nelson,Charles,J,16-Oct-1999,7834,+13538732191,,charles.nelson66@icloud.com,4760 Jefferson Dr,Apt 479,Richmond,IL,80461-1873,2026-05-18
VC000021,Harris,John,M,10-02-1980,1477,580.904.3352,,,9067 Park Blvd,Apt 320,Georgetown,KY,94200,2026-05-17
VC000022,Wright,James,,09/01/1941,9253,(203) 629-3118,,james.wright17@yahoo.com,3188 Washington St,Apt 692,Salem,FL,46489,2026-05-10
VC000023,Brown,Lisa,Y,1994-08-18,4060,5709479016,+13507275796,,3346 Main St,,Franklin,IL,92284-8816,2026-06-03
VC000024,Thomas,John,R,19-Dec-1997,7134,338-959-2104,,john.thomas11@icloud.com,8623 Park Blvd,,Greenville,VT,91972,2026-05-25
VC000025,Johnson,Susan,Q,07-21-1967,3523,+15062942407,,susan.johnson66@hotmail.com,4459 Cedar Ln,Apt 216,Franklin,IL,53667,2026-05-28
VC000026,King,Linda,,01/07/2003,4151,226.951.9350,6839139489,,4384 Hill Rd,,Georgetown,MI,69812-9209,2026-05-21
VC000027,Smith,Barbara,O,1972-12-13,4189,(302) 608-5405,,,7692 Main St,,Marion,SC,11971,2026-05-12
VC000028,Scott,Anthony,V,20-Apr-1941,6054,8569632114,,anthony.scott55@aol.com,9092 River Dr,,Clinton,AK,71900,2026-05-25
VC000029,Adams,Patricia,O,11-12-1996,4564,352-843-2066,,,1377 Forest Ave,Apt 82,Marion,NE,48688-9155,2026-06-04
VC000030,White,Barbara,,02/05/1978,7167,+15929998034,(212) 792-9912,,2279 Park Blvd,,Greenville,PA,87723,2026-05-28
VC000031,Adams,John,,1960-12-19,4179,519.452.7184,4732907394,,8120 Hill Rd,,Georgetown,ND,69190,2026-05-19
VC000032,Martin,Thomas,,31-May-1972,9445,(220) 255-3295,,thomas.martin33@outlook.com,5163 Cedar Ln,Apt 741,Springfield,AL,91468-7700,2026-05-24
VC000033,Nguyen,Sarah,,12-28-1983,8482,3045214046,+19088194226,,8214 Park Blvd,,Greenville,NJ,59814,2026-06-01
VC000034,Jackson,Jessica,W,02/04/1944,6054,466-255-5396,857.554.2894,jessica.jackson55@outlook.com,7955 Washington St,Apt 527,Fairview,MI,93396,2026-05-05
VC000035,Adams,Robert,,1966-06-06,4791,+12713277570,,robert.adams76@gmail.com,9434 Forest Ave,,Georgetown,IA,18080-4392,2026-05-09
VC000036,Taylor,Ashley,,31-May-1962,5757,591.247.3988,,ashley.taylor79@aol.com,564 Jefferson Dr,,Fairview,KY,88661,2026-05-15
VC000037,Hill,Robert,,12-14-2003,7948,(897) 848-1506,,,5495 Park Blvd,,Oxford,ID,58336,2026-05-30
VC000038,Brown,James,,03/31/1976,5306,4632252928,,james.brown68@yahoo.com,3660 Lincoln Ave,,Marion,WA,14168-7653,2026-05-11
VC000039,Taylor,Nancy,Y,1984-05-27,6762,411-558-5057,,nancy.taylor83@hotmail.com,8240 Washington St,,Franklin,CA,53309,2026-05-17
VC000040,Allen,David,T,24-Mar-1994,4366,+14289007809,(664) 794-2268,david.allen13@hotmail.com,9396 Lincoln Ave,,Madison,NM,43147,2026-05-24
VC000041,Wright,Karen,Q,03-18-1943,3163,421.941.6997,5634258436,,6860 Oak Ave,,Richmond,CA,34899-3130,2026-06-03
VC000042,Miller,Lisa,D,04/08/1971,7608,(889) 790-4132,892-770-1957,lisa.miller57@gmail.com,2281 Park Blvd,Apt 436,Burlington,UT,85934,2026-05-27
VC000043,Allen,Ashley,I,1971-08-20,3852,7256859290,+13422653666,,8765 Maple Dr,,Manchester,OK,18954,2026-05-21
VC000044,Taylor,Sarah,Z,10-Aug-1948,6226,765-438-9726,471.574.8140,sarah.taylor43@gmail.com,8717 Valley Ln,Apt 34,Oxford,VA,52151-8925,2026-05-13
VC000045,Smith,Barbara,I,12-02-1980,6129,+18038746907,,barbara.smith71@outlook.com,7508 Cedar Ln,,Clinton,KS,93814,2026-05-21
VC000046,Martin,Richard,,01/02/1944,5741,718.678.4324,,,9328 Park Blvd,Apt 78,Burlington,KY,72629,2026-05-29
VC000047,Williams,Jennifer,G,1988-08-29,8229,(360) 383-4271,283-588-8202,jennifer.williams2@yahoo.com,8044 Oak Ave,Apt 610,Arlington,MD,29289-2587,2026-05-25
VC000048,Torres,Richard,,14-Dec-1945,2767,5533886796,+17937475632,richard.torres72@icloud.com,6990 Forest Ave,,Fairview,IA,91715,2026-05-16
VC000049,Walker,Nancy,L,01-26-1943,7308,978-334-6373,,nancy.walker74@hotmail.com,6915 Lake Rd,,Dayton,GA,85938,2026-05-13
VC000050,Jackson,Michael,,12/16/1961,3018,+16925173001,,michael.jackson36@gmail.com,9187 Cedar Ln,,Marion,NH,69222-8220,2026-05-06
VC000051,Miller,Jennifer,K,1956-03-10,3979,318.460.6499,,jennifer.miller49@yahoo.com,4434 Sunset Blvd,,Clinton,CO,57505,2026-05-31
VC000052,Nelson,Mary,R,25-Jan-1993,7113,(251) 833-5451,,mary.nelson59@yahoo.com,8448 Main St,,Burlington,IL,59877,2026-05-15
VC000053,Taylor,Joseph,,01-28-1998,5631,7983041120,+19545909672,joseph.taylor80@outlook.com,8381 Sunset Blvd,,Richmond,MS,83591-4504,2026-05-16
VC000054,White,Jennifer,W,06/17/1954,3781,954-357-1893,,jennifer.white77@icloud.com,3784 Oak Ave,,Georgetown,CT,92345,2026-06-03
VC000055,Taylor,Margaret,,1988-12-12,9759,+16713618318,,margaret.taylor32@aol.com,8011 Valley Ln,Apt 233,Burlington,OR,57211,2026-05-26
VC000056,Williams,Christopher,,07-Sep-1989,7562,310.299.9909,8983857036,christopher.williams60@hotmail.com,1238 Lincoln Ave,Apt 310,Dayton,MN,60631-5076,2026-05-15
VC000057,Thompson,Nancy,I,01-10-1997,3985,(946) 423-2960,,nancy.thompson73@yahoo.com,3920 Hill Rd,,Salem,AK,43977,2026-05-15
VC000058,Jones,Ashley,N,12/27/1946,4970,9228977160,+17749712109,,2411 Lake Rd,,Georgetown,TN,77887,2026-05-29
